FIPS,State,County,PCH_LACCESS_POP_10_15,PCH_LACCESS_HHNV_10_15,PCT_LACCESS_SNAP15,PCT_LACCESS_WHITE15,PCT_LACCESS_BLACK15,PCT_LACCESS_HISP15,PCT_LACCESS_NHASIAN15,PCT_LACCESS_NHNA15,PCT_LACCESS_NHPI15,PCT_LACCESS_MULTIR15,PCH_LACCESS_POP_10_15_imputed,PCH_LACCESS_HHNV_10_15_imputed,PCT_LACCESS_SNAP15_imputed,PCT_LACCESS_WHITE15_imputed,PCT_LACCESS_BLACK15_imputed,PCT_LACCESS_HISP15_imputed,PCT_LACCESS_NHASIAN15_imputed,PCT_LACCESS_NHNA15_imputed,PCT_LACCESS_NHPI15_imputed,PCT_LACCESS_MULTIR15_imputed,Cluster Labels
1001,AL,Autauga,-5.056025703678356,2.0258879793594544,4.608749252541551,23.163613299188945,7.726582238851551,0.8633453012590149,0.1590001560715893,0.1120922636032997,0.0161586936784397,0.884808108518433,0,0,0,0,0,0,0,0,0,0,0
1003,AL,Baldwin,-13.20489108193356,-11.30038291722249,1.2989003685463132,13.981393471569364,1.9427568795193704,0.7559733541604038,0.1168333900609233,0.0996623862570822,0.008130817111661,0.6187123684238006,0,0,0,0,0,0,0,0,0,0,6
1005,AL,Barbour,6.067799405129772,4.6787915946647045,4.303147049779694,10.302934444774191,9.881359688690097,1.855182740477175,0.0622661253612929,0.1455385755629096,0.0294364860859353,1.6840246747800232,0,0,0,0,0,0,0,0,0,0,8
1007,AL,Bibb,-7.224695844103675,-18.422376637563485,0.6767103234591161,2.3587704067468778,1.828932762312948,0.0375158738028901,0.0087031114415987,0.0109670398471957,0.0,0.022951097716443,0,0,0,0,0,0,0,0,0,0,6
1009,AL,Blount,140.56885668584255,2.050367450519748,0.8127274929922376,5.909147039114545,0.1672005290687242,0.8678864856259867,0.0147046411434279,0.0504836576375705,0.001854176716465,0.3539900675729912,0,0,0,0,0,0,0,0,0,0,6
1011,AL,Bullock,1.2693649484205736,52.41709811411106,6.016622830144433,13.397438670926883,24.138782160842588,0.2206238721563652,0.0088761975893791,0.0706000328002719,0.0,0.3346451467837465,0,0,0,0,0,0,0,0,0,0,8
1013,AL,Butler,-0.2669289357560789,-18.951232540690004,1.0768789929632352,3.4837084626486847,2.629976142802019,0.0529188040974129,0.023657317784822,0.0348439355811081,0.0,0.0546187385362949,0,0,0,0,0,0,0,0,0,0,6
1015,AL,Calhoun,-10.081060933943233,-1.3465282866320578,4.080320207731614,17.759976180911682,4.609625527394503,0.8188216362784865,0.1982518659781482,0.0997676644574629,0.0185216634544734,0.7477089569130562,0,0,0,0,0,0,0,0,0,0,0
1017,AL,Chambers,5.679910835566213,18.4051953593881,3.607493205587612,12.512378829320417,7.648583992883823,0.3705586179206693,0.3170931042229256,0.0604651344004866,0.0001785802309503,0.3045144529659506,0,0,0,0,0,0,0,0,0,0,0
1019,AL,Cherokee,30.36417717921105,-20.81931283101828,0.0460056776264841,0.388205918550529,0.0054288864439051,0.0013426912390104,0.0,0.0008351414881644,0.0,0.0038620365436758,0,0,0,0,0,0,0,0,0,0,6
1021,AL,Chilton,0.9076282021860224,28.27215457062805,0.69727747526534,2.5799238987403936,0.5613937257870725,0.1853574600931652,0.0056047612868469,0.0216772050504752,0.0634904194881781,0.1359165617294219,0,0,0,0,0,0,0,0,0,0,6
1023,AL,Choctaw,3.469851513810586,11.119775343440638,6.138276316547528,5.367030350915232,14.0357163333589,0.0816937488964088,0.0,0.0360776402143984,0.0,0.0639912018177208,0,0,0,0,0,0,0,0,0,0,8
1025,AL,Clarke,12.888935861183024,25.4937974519836,4.148988028320993,8.63005698560233,13.145564632511244,0.3126737467327999,0.0537339926623442,0.0687870111748321,0.0038255706740216,0.2128706973047334,0,0,0,0,0,0,0,0,0,0,8
1027,AL,Clay,-13.46723068427281,3.497383525282658,0.7238262466098201,4.008493619202447,0.4634353789819351,0.0798889979745578,0.0068959406626374,0.0198659808071844,0.0,0.1147236491366946,0,0,0,0,0,0,0,0,0,0,6
1029,AL,Cleburne,437.59794990751845,0.2185653187522289,0.6712892316282975,5.154791783400501,0.0127152249420068,0.0912987764142319,0.0008009229478335,0.0112186977432964,0.0,0.0938846984318594,0,0,0,0,0,0,0,0,0,0,6
1031,AL,Coffee,-7.979015861825822,-38.5492810165939,1.997805117822817,16.942371617756066,2.2639359511944623,1.2149268401550692,0.4676128433824897,0.2166368782755045,0.0598785958502466,1.043569894503852,0,0,0,0,0,0,0,0,0,0,0
1033,AL,Colbert,16.55661203463322,28.12784627208467,3.6827821822294777,17.372829382930718,2.3040641953350667,0.3658048822977199,0.1504267396867163,0.071140787632547,0.0018372896303373,0.4856542548645109,0,0,0,0,0,0,0,0,0,0,0
1035,AL,Conecuh,-4.493610992525419,-12.56455066936401,7.609672179518561,19.263836215146355,7.133148405422324,0.16563230971386,0.0301313848973857,0.1088231146743067,0.0,0.3642683206526587,0,0,0,0,0,0,0,0,0,0,0
1037,AL,Coosa,-0.2929747457731485,65.63555445270288,3.0728887420509805,20.027960895894964,4.161547340364001,0.2473645570476869,0.0139601882579323,0.0289628372693038,0.0007003995159158,0.2831204839333876,0,0,0,0,0,0,0,0,0,0,0
1039,AL,Covington,13.046278100847427,-22.69847209289321,1.4271134851647225,8.969370839059156,0.8384014158671892,0.0690809889696141,0.0110336028039578,0.0495770827611894,0.0,0.1120810971976703,0,0,0,0,0,0,0,0,0,0,6
